"ip","port","protocol","anonymity","lastTested","allowsRefererHeader","allowsUserAgentHeader","allowsCustomHeaders","allowsCookies","allowsPost","allowsHttps","country","connectTime","downloadSpeed","secondsToFirstByte","uptime"
"45.131.5.56","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.067","2518.000","0.083","99.994"
"45.131.5.57","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.092","1762.000","0.118","99.997"
"45.131.5.58","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.361","555.000","0.377","99.998"
"45.131.5.59","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.007","5777.000","0.036","99.999"
"45.131.5.6","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.144","1135.000","0.186","99.996"
"45.131.5.60","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.378","193.000","1.082","99.994"
"45.131.5.61","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.446","324.000","0.644","99.993"
"45.131.5.62","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.106","1089.000","0.192","99.996"
"45.131.5.63","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.136","1201.000","0.174","99.994"
"45.131.5.64","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.281","667.000","0.313","99.993"
"45.131.5.65","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.224","504.000","0.416","99.997"
"45.131.5.66","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.409","217.000","0.961","99.996"
"45.131.5.67","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.007","1066.000","0.197","99.997"
"45.131.5.68","80","http","anonymous","2024-09-21 18:20:09","true","true","true","true","true","","ZZ","0.014","4565.000","0.046","99.998"
"45.131.5.69","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.397","482.000","0.435","99.997"
"45.131.5.7","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.192","401.000","0.521","99.994"
"45.131.5.70","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.247","772.000","0.272","99.996"
"45.131.5.71","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.189","963.000","0.217","99.996"
"45.131.5.72","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.244","744.000","0.282","99.996"
"45.131.5.73","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.079","2000.000","0.106","99.994"
"45.131.5.74","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.011","845.000","0.247","99.999"
"45.131.5.75","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.174","1060.000","0.200","99.998"
"45.131.5.76","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.230","835.000","0.250","99.996"
"45.131.5.77","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.007","4976.000","0.043","99.997"
"45.131.5.78","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.418","196.000","1.066","99.995"
"45.131.5.79","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.217","878.000","0.239","99.991"
"45.131.5.8","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.482","146.000","1.423","99.994"
"45.131.5.80","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.202","832.000","0.252","99.999"
"45.131.5.81","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.014","5648.000","0.038","99.996"
"45.131.5.82","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.129","1009.000","0.207","99.993"
"45.131.5.83","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.016","4883.000","0.044","99.998"
"45.131.5.84","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.033","3732.000","0.054","99.992"
"45.131.5.85","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.588","335.000","0.627","99.995"
"45.131.5.86","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.069","1559.000","0.134","99.997"
"45.131.5.87","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.263","713.000","0.291","99.994"
"45.131.5.88","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.064","2580.000","0.082","99.994"
"45.131.5.89","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.496","265.000","0.791","99.997"
"45.131.5.9","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.209","836.000","0.251","99.999"
"45.131.5.90","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.115","694.000","0.302","99.997"
"45.131.5.91","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.176","1004.000","0.209","99.995"
"45.131.5.92","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.175","1094.000","0.192","99.994"
"45.131.5.93","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.016","4644.000","0.046","99.995"
"45.131.5.94","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.231","781.000","0.267","99.993"
"45.131.5.95","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.415","486.000","0.430","99.995"
"45.131.5.96","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.096","1762.000","0.118","99.996"
"45.131.5.97","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.057","2187.000","0.097","99.996"
"45.131.5.98","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.060","963.000","0.219","99.995"
"45.131.5.99","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.048","1071.000","0.195","99.998"
"45.131.6.0","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.107","1112.000","0.188","99.990"
"45.131.6.1","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.536","378.000","0.556","99.994"
"45.131.6.10","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.041","2049.000","0.102","99.992"
"45.131.6.100","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.249","758.000","0.277","99.999"
"45.131.6.101","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.251","445.000","0.470","99.997"
"45.131.6.102","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.298","661.000","0.316","99.995"
"45.131.6.103","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.356","497.000","0.422","99.995"
"45.131.6.104","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.032","3818.000","0.056","99.994"
"45.131.6.105","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.018","4446.000","0.048","99.995"
"45.131.6.106","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.024","4098.000","0.052","99.998"
"45.131.6.107","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.326","555.000","0.379","99.997"
"45.131.6.108","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.174","181.000","1.156","99.999"
"45.131.6.109","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.210","894.000","0.236","99.998"
"45.131.6.11","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.098","145.000","1.441","99.995"
"45.131.6.110","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.055","2333.000","0.091","99.995"
"45.131.6.111","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.199","189.000","1.109","99.994"
"45.131.6.112","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.029","3800.000","0.055","99.995"
"45.131.6.113","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.055","981.000","0.215","99.995"
"45.131.6.114","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.121","1124.000","0.186","99.994"
"45.131.6.115","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.187","1000.000","0.210","99.995"
"45.131.6.116","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.030","3043.000","0.070","99.995"
"45.131.6.117","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.261","747.000","0.281","99.998"
"45.131.6.118","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.060","255.000","0.826","99.996"
"45.131.6.119","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.019","1521.000","0.138","99.992"
"45.131.6.12","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.165","1014.000","0.207","99.995"
"45.131.6.120","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.025","764.000","0.276","99.995"
"45.131.6.121","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.074","846.000","0.248","99.997"
"45.131.6.122","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.130","1393.000","0.151","99.997"
"45.131.6.123","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.045","2985.000","0.070","99.996"
"45.131.6.124","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.069","2271.000","0.092","99.994"
"45.131.6.125","80","http","anonymous","2024-09-21 18:20:08","true","true","true","true","true","","ZZ","0.103","636.000","0.331","100.000"
"45.131.6.126","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.072","1100.000","0.190","99.995"
"45.131.6.127","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.033","3666.000","0.058","99.995"
"45.131.6.128","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.166","1077.000","0.195","99.998"
"45.131.6.129","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.068","2268.000","0.093","99.994"
"45.131.6.13","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.081","1685.000","0.125","99.994"
"45.131.6.130","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.129","1337.000","0.158","99.997"
"45.131.6.131","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.363","542.000","0.386","99.991"
"45.131.6.132","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.181","1004.000","0.209","99.997"
"45.131.6.133","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.383","514.000","0.408","99.998"
"45.131.6.134","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.090","797.000","0.262","99.995"
